annee,matiere,territoire,quantite_generee_donnees_agglo,quantite_collectee_donnees_agglo,taux_recuperation_donnees_agglo,ratio_recuperation_donnees_agglo,quantite_generee_donnees_CMM,quantite_collectee_donnees_CMM,taux_recuperation_donnees_CMM,ratio_recuperation_donnees_CMM
2012,Matières organiques,Rivière-des-Prairies–Pointe-aux-Trembles,19833,1765,9%,16,NA,NA,NA,NA
2012,Matières organiques,Rosemont–La Petite-Patrie,24054,2228,9%,16,NA,NA,NA,NA
2012,Matières organiques,Sainte-Anne-de-Bellevue,1071,110,10%,21,NA,NA,NA,NA
2012,Matières organiques,Saint-Laurent,16579,1246,8%,13,NA,NA,NA,NA
2012,Matières organiques,Saint-Léonard,15465,812,5%,11,NA,NA,NA,NA
2012,Matières organiques,Senneville,308,162,53%,163,NA,NA,NA,NA
2012,Matières organiques,Sud-Ouest (Le),13543,1118,8%,15,NA,NA,NA,NA
2012,Matières organiques,Verdun,10489,833,8%,12,NA,NA,NA,NA
2012,Matières organiques,Ville-Marie,15171,225,1%,3,NA,NA,NA,NA
2012,Matières organiques,Villeray–Saint-Michel–Parc-Extension,26405,1363,5%,9,NA,NA,NA,NA
2012,Matières organiques,Westmount,5287,2304,44%,110,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Agglomération de Montréal,242229,140388,58%,72,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Ville de Montréal,219738,126896,58%,75,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Ahuntsic-Cartierville,17655,10577,60%,80,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Anjou,2796,1673,60%,39,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Baie-d'Urfé,375,185,49%,48,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Beaconsfield,1968,962,49%,48,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Côte-des-Neiges–Notre-Dame-de-Grâce,21521,12329,57%,72,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Côte-Saint-Luc,2833,1730,61%,52,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Dollard-Des Ormeaux,3912,2622,67%,52,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Dorval,3150,1942,62%,102,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Hampstead,732,460,63%,62,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",L'Île-Bizard–Sainte-Geneviève,1667,807,48%,43,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Kirkland,1986,994,50%,47,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Lachine,3209,1948,61%,44,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",LaSalle,10587,6785,64%,87,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Mercier–Hochelaga-Maisonneuve,11702,6184,53%,45,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Montréal-Est,556,262,47%,67,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Montréal-Nord,5206,2803,54%,33,NA,NA,NA,NA
