annee,matiere,territoire,quantite_generee_donnees_agglo,quantite_collectee_donnees_agglo,taux_recuperation_donnees_agglo,ratio_recuperation_donnees_agglo,quantite_generee_donnees_CMM,quantite_collectee_donnees_CMM,taux_recuperation_donnees_CMM,ratio_recuperation_donnees_CMM
2014,Résidus domestiques dangereux,Kirkland,68,45,66%,2,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Lachine,108,47,43%,1,NA,NA,NA,NA
2014,Résidus domestiques dangereux,LaSalle,318,230,72%,3,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Mercier–Hochelaga-Maisonneuve,307,144,47%,1,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Montréal-Est,10,4,36%,1,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Montréal-Nord,211,92,43%,1,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Montréal-Ouest,14,7,54%,1,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Mont-Royal,52,30,57%,1,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Outremont,55,29,52%,1,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Pierrefonds-Roxboro,195,105,54%,1,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Plateau-Mont-Royal (Le),244,106,43%,1,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Pointe-Claire,99,64,65%,2,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Rivière-des-Prairies–Pointe-aux-Trembles,410,286,70%,3,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Rosemont–La Petite-Patrie,536,383,71%,3,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Sainte-Anne-de-Bellevue,16,10,63%,2,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Saint-Laurent,217,106,49%,1,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Saint-Léonard,190,89,47%,1,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Senneville,3,2,67%,2,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Sud-Ouest (Le),299,210,70%,3,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Verdun,140,68,49%,1,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Ville-Marie,192,89,46%,1,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Villeray–Saint-Michel–Parc-Extension,512,324,63%,2,NA,NA,NA,NA
2014,Résidus domestiques dangereux,Westmount,51,29,57%,1,NA,NA,NA,NA
2014,Textiles,Agglomération de Montréal,NA,80,NA,0,NA,NA,NA,NA
2014,Textiles,Ville de Montréal,NA,54,NA,0,NA,NA,NA,NA
2014,Textiles,Ahuntsic-Cartierville,NA,5,NA,0,NA,NA,NA,NA
2014,Textiles,Anjou,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Baie-d'Urfé,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Beaconsfield,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Côte-des-Neiges–Notre-Dame-de-Grâce,NA,6,NA,0,NA,NA,NA,NA
2014,Textiles,Côte-Saint-Luc,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Dollard-Des Ormeaux,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Dorval,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Hampstead,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,L'Île-Bizard–Sainte-Geneviève,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Kirkland,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Lachine,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,LaSalle,NA,4,NA,0,NA,NA,NA,NA
2014,Textiles,Mercier–Hochelaga-Maisonneuve,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Montréal-Est,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Montréal-Nord,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Montréal-Ouest,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Mont-Royal,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Outremont,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Pierrefonds-Roxboro,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Plateau-Mont-Royal (Le),NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Pointe-Claire,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Rivière-des-Prairies–Pointe-aux-Trembles,NA,3,NA,0,NA,NA,NA,NA
2014,Textiles,Rosemont–La Petite-Patrie,NA,15,NA,0,NA,NA,NA,NA
2014,Textiles,Sainte-Anne-de-Bellevue,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Saint-Laurent,NA,2,NA,0,NA,NA,NA,NA
2014,Textiles,Saint-Léonard,NA,11,NA,0,NA,NA,NA,NA
2014,Textiles,Senneville,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Sud-Ouest (Le),NA,3,NA,0,NA,NA,NA,NA
2014,Textiles,Verdun,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Ville-Marie,NA,0,NA,0,NA,NA,NA,NA
2014,Textiles,Villeray–Saint-Michel–Parc-Extension,NA,5,NA,0,NA,NA,NA,NA
2014,Textiles,Westmount,NA,27,NA,1,NA,NA,NA,NA
2014,Autres (produits électroniques),Agglomération de Montréal,NA,1778,NA,1,NA,NA,NA,NA
2014,Autres (produits électroniques),Ville de Montréal,NA,1501,NA,1,NA,NA,NA,NA
2014,Autres (produits électroniques),Ahuntsic-Cartierville,NA,146,NA,1,NA,NA,NA,NA
2014,Autres (produits électroniques),Anjou,NA,2,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Baie-d'Urfé,NA,0,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Beaconsfield,NA,25,NA,1,NA,NA,NA,NA
2014,Autres (produits électroniques),Côte-des-Neiges–Notre-Dame-de-Grâce,NA,275,NA,2,NA,NA,NA,NA
2014,Autres (produits électroniques),Côte-Saint-Luc,NA,45,NA,1,NA,NA,NA,NA
2014,Autres (produits électroniques),Dollard-Des Ormeaux,NA,114,NA,2,NA,NA,NA,NA
2014,Autres (produits électroniques),Dorval,NA,7,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Hampstead,NA,0,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),L'Île-Bizard–Sainte-Geneviève,NA,0,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Kirkland,NA,22,NA,1,NA,NA,NA,NA
2014,Autres (produits électroniques),Lachine,NA,0,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),LaSalle,NA,161,NA,2,NA,NA,NA,NA
2014,Autres (produits électroniques),Mercier–Hochelaga-Maisonneuve,NA,134,NA,1,NA,NA,NA,NA
2014,Autres (produits électroniques),Montréal-Est,NA,0,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Montréal-Nord,NA,0,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Montréal-Ouest,NA,0,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Mont-Royal,NA,0,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Outremont,NA,3,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Pierrefonds-Roxboro,NA,0,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Plateau-Mont-Royal (Le),NA,24,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Pointe-Claire,NA,24,NA,1,NA,NA,NA,NA
2014,Autres (produits électroniques),Rivière-des-Prairies–Pointe-aux-Trembles,NA,186,NA,2,NA,NA,NA,NA
2014,Autres (produits électroniques),Rosemont–La Petite-Patrie,NA,186,NA,1,NA,NA,NA,NA
2014,Autres (produits électroniques),Sainte-Anne-de-Bellevue,NA,17,NA,3,NA,NA,NA,NA
2014,Autres (produits électroniques),Saint-Laurent,NA,17,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Saint-Léonard,NA,10,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Senneville,NA,0,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Sud-Ouest (Le),NA,185,NA,3,NA,NA,NA,NA
2014,Autres (produits électroniques),Verdun,NA,8,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Ville-Marie,NA,0,NA,0,NA,NA,NA,NA
2014,Autres (produits électroniques),Villeray–Saint-Michel–Parc-Extension,NA,166,NA,1,NA,NA,NA,NA
2014,Autres (produits électroniques),Westmount,NA,23,NA,1,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Agglomération de Montréal,NA,539480,NA,278,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Ville de Montréal,NA,474704,NA,280,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Ahuntsic-Cartierville,NA,36187,NA,275,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Anjou,NA,12390,NA,285,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Baie-d'Urfé,NA,1411,NA,364,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Beaconsfield,NA,6538,NA,334,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Côte-des-Neiges–Notre-Dame-de-Grâce,NA,41723,NA,248,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Côte-Saint-Luc,NA,8142,NA,247,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Dollard-Des Ormeaux,NA,13509,NA,270,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Dorval,NA,4998,NA,265,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Hampstead,NA,1822,NA,250,NA,NA,NA,NA
2014,Ordures ménagères éliminées,L'Île-Bizard–Sainte-Geneviève,NA,5887,NA,317,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Kirkland,NA,5423,NA,256,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Lachine,NA,14281,NA,330,NA,NA,NA,NA
2014,Ordures ménagères éliminées,LaSalle,NA,20488,NA,267,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Mercier–Hochelaga-Maisonneuve,NA,38038,NA,282,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Montréal-Est,NA,1478,NA,392,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Montréal-Nord,NA,27724,NA,322,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Montréal-Ouest,NA,1502,NA,291,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Mont-Royal,NA,5202,NA,259,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Outremont,NA,6166,NA,254,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Pierrefonds-Roxboro,NA,21056,NA,297,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Plateau-Mont-Royal (Le),NA,32080,NA,313,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Pointe-Claire,NA,8012,NA,257,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Rivière-des-Prairies–Pointe-aux-Trembles,NA,28838,NA,265,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Rosemont–La Petite-Patrie,NA,35761,NA,259,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Sainte-Anne-de-Bellevue,NA,1369,NA,273,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Saint-Laurent,NA,25775,NA,260,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Saint-Léonard,NA,23501,NA,298,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Senneville,NA,204,NA,218,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Sud-Ouest (Le),NA,20521,NA,278,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Verdun,NA,16705,NA,246,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Ville-Marie,NA,23974,NA,278,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Villeray–Saint-Michel–Parc-Extension,NA,43609,NA,300,NA,NA,NA,NA
2014,Ordures ménagères éliminées,Westmount,NA,5168,NA,257,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Agglomération de Montréal,NA,43900,NA,23,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Ville de Montréal,NA,40614,NA,24,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Ahuntsic-Cartierville,NA,2753,NA,21,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Anjou,NA,82,NA,2,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Baie-d'Urfé,NA,41,NA,10,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Beaconsfield,NA,523,NA,27,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Côte-des-Neiges–Notre-Dame-de-Grâce,NA,3754,NA,22,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Côte-Saint-Luc,NA,647,NA,20,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Dollard-Des Ormeaux,NA,39,NA,1,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Dorval,NA,477,NA,25,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Hampstead,NA,52,NA,7,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",L'Île-Bizard–Sainte-Geneviève,NA,419,NA,23,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Kirkland,NA,604,NA,28,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Lachine,NA,0,NA,0,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",LaSalle,NA,4619,NA,60,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Mercier–Hochelaga-Maisonneuve,NA,4,NA,0,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Montréal-Est,NA,233,NA,62,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Montréal-Nord,NA,0,NA,0,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Montréal-Ouest,NA,0,NA,0,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Mont-Royal,NA,198,NA,10,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Outremont,NA,1305,NA,54,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Pierrefonds-Roxboro,NA,164,NA,2,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Plateau-Mont-Royal (Le),NA,8,NA,0,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Pointe-Claire,NA,208,NA,7,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Rivière-des-Prairies–Pointe-aux-Trembles,NA,4123,NA,38,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Rosemont–La Petite-Patrie,NA,5148,NA,37,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Sainte-Anne-de-Bellevue,NA,51,NA,10,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Saint-Laurent,NA,803,NA,8,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Saint-Léonard,NA,346,NA,4,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Senneville,NA,9,NA,9,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Sud-Ouest (Le),NA,7242,NA,98,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Verdun,NA,463,NA,7,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Ville-Marie,NA,1670,NA,19,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Villeray–Saint-Michel–Parc-Extension,NA,7710,NA,53,NA,NA,NA,NA
2014,"Résidus de construction, rénovation, démolition et encombrants éliminés",Westmount,NA,207,NA,10,NA,NA,NA,NA
2015,Matières recyclables,Agglomération de Montréal,313118,165755,58%,84,NA,NA,NA,NA
2015,Matières recyclables,Ville de Montréal,271613,141308,57%,82,NA,NA,NA,NA
2015,Matières recyclables,Ahuntsic-Cartierville,19493,9504,54%,71,NA,NA,NA,NA
2015,Matières recyclables,Anjou,6343,2894,50%,66,NA,NA,NA,NA
2015,Matières recyclables,Baie-d'Urfé,956,547,63%,141,NA,NA,NA,NA
2015,Matières recyclables,Beaconsfield,3716,2416,71%,122,NA,NA,NA,NA
2015,Matières recyclables,Côte-des-Neiges–Notre-Dame-de-Grâce,24796,13354,59%,78,NA,NA,NA,NA
2015,Matières recyclables,Côte-Saint-Luc,4675,2394,56%,72,NA,NA,NA,NA
2015,Matières recyclables,Dollard-Des Ormeaux,7989,4177,57%,82,NA,NA,NA,NA
2015,Matières recyclables,Dorval,3390,2029,66%,106,NA,NA,NA,NA
2015,Matières recyclables,Hampstead,1177,686,64%,94,NA,NA,NA,NA
2015,Matières recyclables,L'Île-Bizard–Sainte-Geneviève,3631,1956,59%,103,NA,NA,NA,NA
2015,Matières recyclables,Kirkland,3839,2368,68%,110,NA,NA,NA,NA
2015,Matières recyclables,Lachine,7480,3749,55%,84,NA,NA,NA,NA
2015,Matières recyclables,LaSalle,12240,6693,60%,85,NA,NA,NA,NA
2015,Matières recyclables,Mercier–Hochelaga-Maisonneuve,22558,11962,58%,87,NA,NA,NA,NA
2015,Matières recyclables,Montréal-Est,804,376,51%,97,NA,NA,NA,NA
2015,Matières recyclables,Montréal-Nord,13746,6140,49%,70,NA,NA,NA,NA
2015,Matières recyclables,Montréal-Ouest,887,502,62%,96,NA,NA,NA,NA
2015,Matières recyclables,Mont-Royal,3670,2258,68%,110,NA,NA,NA,NA
2015,Matières recyclables,Outremont,3990,2337,64%,94,NA,NA,NA,NA
2015,Matières recyclables,Pierrefonds-Roxboro,11987,6023,55%,84,NA,NA,NA,NA
2015,Matières recyclables,Plateau-Mont-Royal (Le),18252,9662,58%,93,NA,NA,NA,NA
2015,Matières recyclables,Pointe-Claire,5668,3821,74%,122,NA,NA,NA,NA
2015,Matières recyclables,Rivière-des-Prairies–Pointe-aux-Trembles,17601,9478,59%,86,NA,NA,NA,NA
2015,Matières recyclables,Rosemont–La Petite-Patrie,22950,13267,64%,94,NA,NA,NA,NA
2015,Matières recyclables,Sainte-Anne-de-Bellevue,952,576,67%,115,NA,NA,NA,NA
2015,Matières recyclables,Saint-Laurent,13810,6952,55%,69,NA,NA,NA,NA
2015,Matières recyclables,Saint-Léonard,11835,5260,49%,65,NA,NA,NA,NA
2015,Matières recyclables,Senneville,222,162,80%,177,NA,NA,NA,NA
2015,Matières recyclables,Sud-Ouest (Le),12357,6708,60%,89,NA,NA,NA,NA
2015,Matières recyclables,Verdun,12000,7280,67%,104,NA,NA,NA,NA
2015,Matières recyclables,Ville-Marie,16043,9357,64%,106,NA,NA,NA,NA
2015,Matières recyclables,Villeray–Saint-Michel–Parc-Extension,20499,8731,47%,59,NA,NA,NA,NA
2015,Matières recyclables,Westmount,3559,2135,66%,105,NA,NA,NA,NA
2015,Matières organiques,Agglomération de Montréal,372642,61638,17%,31,NA,NA,NA,NA
2015,Matières organiques,Ville de Montréal,310336,35331,11%,20,NA,NA,NA,NA
2015,Matières organiques,Ahuntsic-Cartierville,24372,3291,14%,25,NA,NA,NA,NA
2015,Matières organiques,Anjou,7657,378,5%,9,NA,NA,NA,NA
2015,Matières organiques,Baie-d'Urfé,1226,363,30%,94,NA,NA,NA,NA
2015,Matières organiques,Beaconsfield,6642,3898,59%,196,NA,NA,NA,NA
2015,Matières organiques,Côte-des-Neiges–Notre-Dame-de-Grâce,27412,3263,12%,19,NA,NA,NA,NA
2015,Matières organiques,Côte-Saint-Luc,6779,1965,29%,59,NA,NA,NA,NA
2015,Matières organiques,Dollard-Des Ormeaux,12072,4025,33%,79,NA,NA,NA,NA
2015,Matières organiques,Dorval,4376,1504,34%,78,NA,NA,NA,NA
2015,Matières organiques,Hampstead,1412,377,27%,52,NA,NA,NA,NA
2015,Matières organiques,L'Île-Bizard–Sainte-Geneviève,4753,1218,26%,64,NA,NA,NA,NA
2015,Matières organiques,Kirkland,5321,2217,42%,103,NA,NA,NA,NA
2015,Matières organiques,Lachine,9433,1559,17%,35,NA,NA,NA,NA
2015,Matières organiques,LaSalle,12799,1094,9%,14,NA,NA,NA,NA
2015,Matières organiques,Mercier–Hochelaga-Maisonneuve,24743,2379,10%,17,NA,NA,NA,NA
2015,Matières organiques,Montréal-Est,1018,114,11%,29,NA,NA,NA,NA
2015,Matières organiques,Montréal-Nord,17390,1338,8%,15,NA,NA,NA,NA
2015,Matières organiques,Montréal-Ouest,1169,357,30%,68,NA,NA,NA,NA
2015,Matières organiques,Mont-Royal,6201,3223,52%,156,NA,NA,NA,NA
2015,Matières organiques,Outremont,4922,1432,29%,58,NA,NA,NA,NA
2015,Matières organiques,Pierrefonds-Roxboro,13738,1152,8%,16,NA,NA,NA,NA
2015,Matières organiques,Plateau-Mont-Royal (Le),19112,982,5%,9,NA,NA,NA,NA
2015,Matières organiques,Pointe-Claire,8591,4691,55%,149,NA,NA,NA,NA
2015,Matières organiques,Rivière-des-Prairies–Pointe-aux-Trembles,20755,3612,17%,33,NA,NA,NA,NA
2015,Matières organiques,Rosemont–La Petite-Patrie,24183,3748,15%,27,NA,NA,NA,NA
2015,Matières organiques,Sainte-Anne-de-Bellevue,1264,471,37%,94,NA,NA,NA,NA
2015,Matières organiques,Saint-Laurent,17054,2581,15%,26,NA,NA,NA,NA
2015,Matières organiques,Saint-Léonard,14969,1090,7%,13,NA,NA,NA,NA
2015,Matières organiques,Senneville,369,244,66%,265,NA,NA,NA,NA
2015,Matières organiques,Sud-Ouest (Le),14090,2167,15%,29,NA,NA,NA,NA
2015,Matières organiques,Verdun,11005,1043,9%,15,NA,NA,NA,NA
2015,Matières organiques,Ville-Marie,14382,271,2%,3,NA,NA,NA,NA
2015,Matières organiques,Villeray–Saint-Michel–Parc-Extension,27568,2733,10%,18,NA,NA,NA,NA
2015,Matières organiques,Westmount,5865,2860,49%,140,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Agglomération de Montréal,230452,147591,64%,75,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Ville de Montréal,205648,131829,64%,76,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Ahuntsic-Cartierville,16626,11599,70%,86,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Anjou,3084,1911,62%,43,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Baie-d'Urfé,399,224,56%,58,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Beaconsfield,2629,1393,53%,70,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Côte-des-Neiges–Notre-Dame-de-Grâce,18485,11298,61%,66,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Côte-Saint-Luc,3743,2312,62%,69,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Dollard-Des Ormeaux,4304,3078,72%,61,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Dorval,3367,2470,73%,129,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Hampstead,775,580,75%,80,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",L'Île-Bizard–Sainte-Geneviève,1747,890,51%,47,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Kirkland,2285,1267,55%,59,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Lachine,3177,2014,63%,45,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",LaSalle,20049,15291,76%,195,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Mercier–Hochelaga-Maisonneuve,8466,5188,61%,38,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Montréal-Est,605,273,45%,70,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Montréal-Nord,5313,2938,55%,33,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Montréal-Ouest,320,200,63%,38,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Mont-Royal,1693,972,57%,47,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Outremont,3260,1621,50%,65,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Pierrefonds-Roxboro,5391,3399,63%,47,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Plateau-Mont-Royal (Le),6927,4020,58%,39,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Pointe-Claire,2427,1594,66%,51,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Rivière-des-Prairies–Pointe-aux-Trembles,20580,13724,67%,124,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Rosemont–La Petite-Patrie,20515,13128,64%,93,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Sainte-Anne-de-Bellevue,391,207,53%,41,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Saint-Laurent,7407,4307,58%,43,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Saint-Léonard,5753,3366,59%,42,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Senneville,65,36,56%,40,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Sud-Ouest (Le),18157,9686,53%,128,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Verdun,4816,2939,61%,42,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Ville-Marie,8524,4441,52%,50,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Villeray–Saint-Michel–Parc-Extension,27373,20068,73%,136,NA,NA,NA,NA
2015,"Résidus de construction, rénovation, démolition et encombrants",Westmount,1802,1155,64%,57,NA,NA,NA,NA
2015,Résidus domestiques dangereux,Agglomération de Montréal,5729,3441,60%,2,NA,NA,NA,NA
2015,Résidus domestiques dangereux,Ville de Montréal,5011,2988,60%,2,NA,NA,NA,NA
2015,Résidus domestiques dangereux,Ahuntsic-Cartierville,424,269,63%,2,NA,NA,NA,NA
2015,Résidus domestiques dangereux,Anjou,105,51,49%,1,NA,NA,NA,NA
2015,Résidus domestiques dangereux,Baie-d'Urfé,17,11,63%,3,NA,NA,NA,NA
2015,Résidus domestiques dangereux,Beaconsfield,79,59,74%,3,NA,NA,NA,NA
2015,Résidus domestiques dangereux,Côte-des-Neiges–Notre-Dame-de-Grâce,460,283,61%,2,NA,NA,NA,NA
2015,Résidus domestiques dangereux,Côte-Saint-Luc,85,49,58%,1,NA,NA,NA,NA
2015,Résidus domestiques dangereux,Dollard-Des Ormeaux,146,87,60%,2,NA,NA,NA,NA
2015,Résidus domestiques dangereux,Dorval,61,40,66%,2,NA,NA,NA,NA
